"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.28227,0.019675,0,0.035437,0.014233,0.00051491,-0.17007,1,0.0682,0.05,0.0682,0.01
0.28396,0.019702,0,0.035618,0.014264,0.00051451,-0.16972,1,0.0683,0.05,0.0683,0.01
0.28569,0.019729,0,0.03582,0.014299,0.00051414,-0.16936,1,0.0684,0.05,0.0684,0.01
0.28742,0.019756,0,0.036032,0.014335,0.00051378,-0.16898,1,0.0685,0.05,0.0685,0.01
0.28916,0.019783,0,0.036244,0.014371,0.00051342,-0.16861,1,0.0686,0.05,0.0686,0.01
0.2909,0.01981,0,0.036456,0.014407,0.00051306,-0.16824,1,0.0687,0.05,0.0687,0.01
0.29263,0.019837,0,0.036668,0.014444,0.0005127,-0.16786,1,0.0688,0.05,0.0688,0.01
0.29437,0.019864,0,0.03688,0.01448,0.00051234,-0.16749,1,0.0689,0.05,0.0689,0.01
0.29611,0.019891,0,0.037092,0.014516,0.00051198,-0.16712,1,0.069,0.05,0.069,0.01
0.29785,0.019918,0,0.037304,0.014552,0.00051162,-0.16674,1,0.0691,0.05,0.0691,0.01
0.29958,0.019945,0,0.037516,0.014588,0.00051126,-0.16637,1,0.0692,0.05,0.0692,0.01
0.30132,0.019972,0,0.037728,0.014624,0.0005109,-0.166,1,0.0693,0.05,0.0693,0.01
0.30306,0.019999,0,0.03794,0.01466,0.00051053,-0.16562,1,0.0694,0.05,0.0694,0.01
0.30479,0.020026,0,0.038152,0.014696,0.00051017,-0.16525,1,0.0695,0.05,0.0695,0.01
0.30653,0.020053,0,0.038364,0.014733,0.00050981,-0.16487,1,0.0696,0.05,0.0696,0.01
0.30827,0.020079,0,0.038576,0.014769,0.00050945,-0.1645,1,0.0697,0.05,0.0697,0.01
0.31,0.020106,0,0.038788,0.014805,0.00050909,-0.16413,1,0.0698,0.05,0.0698,0.01
0.31174,0.020133,0,0.039,0.014841,0.00050873,-0.16375,1,0.0699,0.05,0.0699,0.01
0.31348,0.02016,0,0.039212,0.014877,0.00050837,-0.16338,1,0.07,0.05,0.07,0.01
0.31526,0.020187,0,0.039459,0.014918,0.00050805,-0.16298,1,0.0701,0.05,0.0701,0.01
0.31705,0.020213,0,0.039706,0.014958,0.00050773,-0.16259,1,0.0702,0.05,0.0702,0.01
0.31883,0.02024,0,0.039953,0.014999,0.0005074,-0.16219,1,0.0703,0.05,0.0703,0.01
0.32061,0.020266,0,0.0402,0.01504,0.00050708,-0.16179,1,0.0704,0.05,0.0704,0.01
0.3224,0.020292,0,0.040447,0.015081,0.00050676,-0.1614,1,0.0705,0.05,0.0705,0.01
0.32418,0.020319,0,0.040694,0.015121,0.00050644,-0.161,1,0.0706,0.05,0.0706,0.01
0.32597,0.020345,0,0.040942,0.015162,0.00050611,-0.1606,1,0.0707,0.05,0.0707,0.01
0.32775,0.020372,0,0.041189,0.015203,0.00050579,-0.16021,1,0.0708,0.05,0.0708,0.01
0.32953,0.020398,0,0.041436,0.015243,0.00050547,-0.15981,1,0.0709,0.05,0.0709,0.01
0.33132,0.020425,0,0.041683,0.015284,0.00050515,-0.15941,1,0.071,0.05,0.071,0.01
0.3331,0.020451,0,0.04193,0.015325,0.00050482,-0.15902,1,0.0711,0.05,0.0711,0.01
0.33489,0.020478,0,0.042177,0.015366,0.0005045,-0.15862,1,0.0712,0.05,0.0712,0.01
0.33667,0.020504,0,0.042424,0.015406,0.00050418,-0.15822,1,0.0713,0.05,0.0713,0.01
0.33845,0.02053,0,0.042671,0.015447,0.00050386,-0.15783,1,0.0714,0.05,0.0714,0.01
0.34024,0.020557,0,0.042919,0.015488,0.00050353,-0.15743,1,0.0715,0.05,0.0715,0.01
0.34202,0.020583,0,0.043166,0.015528,0.00050321,-0.15703,1,0.0716,0.05,0.0716,0.01
0.34382,0.02061,0,0.043426,0.015571,0.0005029,-0.15663,1,0.0717,0.05,0.0717,0.01
0.34566,0.020635,0,0.043712,0.015616,0.00050261,-0.15621,1,0.0718,0.05,0.0718,0.01
0.34749,0.020661,0,0.043998,0.015661,0.00050233,-0.1558,1,0.0719,0.05,0.0719,0.01
0.34932,0.020687,0,0.044285,0.015707,0.00050204,-0.15538,1,0.072,0.05,0.072,0.01
0.35116,0.020713,0,0.044571,0.015752,0.00050175,-0.15496,1,0.0721,0.05,0.0721,0.01
0.35299,0.020739,0,0.044857,0.015797,0.00050146,-0.15455,1,0.0722,0.05,0.0722,0.01
0.35482,0.020764,0,0.045143,0.015843,0.00050118,-0.15413,1,0.0723,0.05,0.0723,0.01
0.35666,0.02079,0,0.045429,0.015888,0.00050089,-0.15371,1,0.0724,0.05,0.0724,0.01
0.35849,0.020816,0,0.045715,0.015933,0.0005006,-0.15329,1,0.0725,0.05,0.0725,0.01
0.36032,0.020842,0,0.046002,0.015978,0.00050031,-0.15288,1,0.0726,0.05,0.0726,0.01
0.36215,0.020868,0,0.046288,0.016024,0.00050002,-0.15246,1,0.0727,0.05,0.0727,0.01
0.36399,0.020894,0,0.046574,0.016069,0.00049974,-0.15204,1,0.0728,0.05,0.0728,0.01
0.36582,0.020919,0,0.04686,0.016114,0.00049945,-0.15163,1,0.0729,0.05,0.0729,0.01
0.36765,0.020945,0,0.047147,0.01616,0.00049916,-0.15121,1,0.073,0.05,0.073,0.01
0.36949,0.020971,0,0.047433,0.016205,0.00049887,-0.15079,1,0.0731,0.05,0.0731,0.01
0.37132,0.020997,0,0.047719,0.01625,0.00049859,-0.15037,1,0.0732,0.05,0.0732,0.01
0.37315,0.021023,0,0.048005,0.016296,0.0004983,-0.14996,1,0.0733,0.05,0.0733,0.01
0.37502,0.021048,0,0.04832,0.016344,0.00049803,-0.14953,1,0.0734,0.05,0.0734,0.01
0.3769,0.021073,0,0.048649,0.016394,0.00049777,-0.14909,1,0.0735,0.05,0.0735,0.01
0.37879,0.021098,0,0.048978,0.016443,0.0004975,-0.14866,1,0.0736,0.05,0.0736,0.01
0.38067,0.021124,0,0.049307,0.016493,0.00049724,-0.14823,1,0.0737,0.05,0.0737,0.01
0.38255,0.021149,0,0.049637,0.016543,0.00049698,-0.14779,1,0.0738,0.05,0.0738,0.01
0.38444,0.021174,0,0.049966,0.016593,0.00049672,-0.14736,1,0.0739,0.05,0.0739,0.01
0.38632,0.021199,0,0.050295,0.016642,0.00049646,-0.14692,1,0.074,0.05,0.074,0.01
0.38821,0.021224,0,0.050624,0.016692,0.0004962,-0.14649,1,0.0741,0.05,0.0741,0.01
0.39009,0.021249,0,0.050953,0.016742,0.00049593,-0.14606,1,0.0742,0.05,0.0742,0.01
0.39197,0.021275,0,0.051282,0.016792,0.00049567,-0.14562,1,0.0743,0.05,0.0743,0.01
0.39386,0.0213,0,0.051611,0.016841,0.00049541,-0.14519,1,0.0744,0.05,0.0744,0.01
0.39574,0.021325,0,0.051941,0.016891,0.00049515,-0.14475,1,0.0745,0.05,0.0745,0.01
0.39762,0.02135,0,0.05227,0.016941,0.00049489,-0.14432,1,0.0746,0.05,0.0746,0.01
0.39951,0.021375,0,0.052599,0.016991,0.00049462,-0.14388,1,0.0747,0.05,0.0747,0.01
0.40139,0.0214,0,0.052928,0.01704,0.00049436,-0.14345,1,0.0748,0.05,0.0748,0.01
0.40327,0.021425,0,0.053257,0.01709,0.0004941,-0.14302,1,0.0749,0.05,0.0749,0.01
0.40516,0.021451,0,0.053586,0.01714,0.00049384,-0.14258,1,0.075,0.05,0.075,0.01
0.40709,0.021475,0,0.053962,0.017194,0.00049359,-0.14213,1,0.0751,0.05,0.0751,0.01
0.40903,0.0215,0,0.054337,0.017247,0.00049334,-0.14169,1,0.0752,0.05,0.0752,0.01
0.41096,0.021524,0,0.054713,0.017301,0.00049309,-0.14124,1,0.0753,0.05,0.0753,0.01
0.41289,0.021549,0,0.055089,0.017355,0.00049284,-0.14079,1,0.0754,0.05,0.0754,0.01
0.41483,0.021573,0,0.055464,0.017409,0.00049259,-0.14034,1,0.0755,0.05,0.0755,0.01
0.41676,0.021598,0,0.05584,0.017463,0.00049234,-0.13989,1,0.0756,0.05,0.0756,0.01
0.4187,0.021622,0,0.056215,0.017516,0.00049209,-0.13945,1,0.0757,0.05,0.0757,0.01
0.42063,0.021647,0,0.056591,0.01757,0.00049183,-0.139,1,0.0758,0.05,0.0758,0.01
0.42256,0.021671,0,0.056967,0.017624,0.00049158,-0.13855,1,0.0759,0.05,0.0759,0.01
0.4245,0.021696,0,0.057342,0.017678,0.00049133,-0.1381,1,0.076,0.05,0.076,0.01
0.42643,0.02172,0,0.057718,0.017732,0.00049108,-0.13766,1,0.0761,0.05,0.0761,0.01
0.42837,0.021745,0,0.058093,0.017785,0.00049083,-0.13721,1,0.0762,0.05,0.0762,0.01
0.4303,0.021769,0,0.058469,0.017839,0.00049058,-0.13676,1,0.0763,0.05,0.0763,0.01
0.43223,0.021794,0,0.058845,0.017893,0.00049033,-0.13631,1,0.0764,0.05,0.0764,0.01
0.43417,0.021818,0,0.05922,0.017947,0.00049008,-0.13586,1,0.0765,0.05,0.0765,0.01
0.4361,0.021843,0,0.059596,0.018001,0.00048983,-0.13542,1,0.0766,0.05,0.0766,0.01
0.43805,0.021867,0,0.059988,0.018055,0.00048958,-0.13497,1,0.0767,0.05,0.0767,0.01
0.44003,0.021891,0,0.060413,0.018113,0.00048932,-0.13451,1,0.0768,0.05,0.0768,0.01
0.44202,0.021915,0,0.060838,0.01817,0.00048906,-0.13405,1,0.0769,0.05,0.0769,0.01
0.444,0.021939,0,0.061262,0.018227,0.00048879,-0.1336,1,0.077,0.05,0.077,0.01
0.44598,0.021963,0,0.061687,0.018284,0.00048853,-0.13314,1,0.0771,0.05,0.0771,0.01
0.44797,0.021987,0,0.062112,0.018341,0.00048827,-0.13268,1,0.0772,0.05,0.0772,0.01
0.44995,0.022011,0,0.062537,0.018398,0.00048801,-0.13222,1,0.0773,0.05,0.0773,0.01
0.45193,0.022035,0,0.062962,0.018455,0.00048775,-0.13177,1,0.0774,0.05,0.0774,0.01
0.45391,0.022059,0,0.063386,0.018512,0.00048749,-0.13131,1,0.0775,0.05,0.0775,0.01
0.4559,0.022083,0,0.063811,0.01857,0.00048723,-0.13085,1,0.0776,0.05,0.0776,0.01
0.45788,0.022107,0,0.064236,0.018627,0.00048697,-0.1304,1,0.0777,0.05,0.0777,0.01
0.45986,0.022131,0,0.064661,0.018684,0.00048671,-0.12994,1,0.0778,0.05,0.0778,0.01
0.46185,0.022155,0,0.065086,0.018741,0.00048645,-0.12948,1,0.0779,0.05,0.0779,0.01
0.46383,0.022179,0,0.065511,0.018798,0.00048619,-0.12902,1,0.078,0.05,0.078,0.01
0.46581,0.022203,0,0.065935,0.018855,0.00048593,-0.12857,1,0.0781,0.05,0.0781,0.01
0.46779,0.022227,0,0.06636,0.018912,0.00048567,-0.12811,1,0.0782,0.05,0.0782,0.01
0.46978,0.022251,0,0.066785,0.01897,0.00048541,-0.12765,1,0.0783,0.05,0.0783,0.01
0.47179,0.022275,0,0.067244,0.019028,0.00048512,-0.12719,1,0.0784,0.05,0.0784,0.01
0.47382,0.022298,0,0.067719,0.019088,0.00048482,-0.12673,1,0.0785,0.05,0.0785,0.01
0.47585,0.022322,0,0.068195,0.019147,0.00048452,-0.12627,1,0.0786,0.05,0.0786,0.01
0.47787,0.022346,0,0.06867,0.019206,0.00048423,-0.12581,1,0.0787,0.05,0.0787,0.01
0.4799,0.022369,0,0.069146,0.019266,0.00048393,-0.12535,1,0.0788,0.05,0.0788,0.01
0.48193,0.022393,0,0.069621,0.019325,0.00048363,-0.12489,1,0.0789,0.05,0.0789,0.01
0.48396,0.022417,0,0.070097,0.019384,0.00048333,-0.12442,1,0.079,0.05,0.079,0.01
0.48599,0.022441,0,0.070573,0.019444,0.00048303,-0.12396,1,0.0791,0.05,0.0791,0.01
0.48802,0.022464,0,0.071048,0.019503,0.00048273,-0.1235,1,0.0792,0.05,0.0792,0.01
0.49004,0.022488,0,0.071524,0.019562,0.00048243,-0.12304,1,0.0793,0.05,0.0793,0.01
0.49207,0.022512,0,0.071999,0.019622,0.00048213,-0.12258,1,0.0794,0.05,0.0794,0.01
0.4941,0.022536,0,0.072475,0.019681,0.00048184,-0.12212,1,0.0795,0.05,0.0795,0.01
0.49613,0.022559,0,0.07295,0.019741,0.00048154,-0.12166,1,0.0796,0.05,0.0796,0.01
0.49816,0.022583,0,0.073426,0.0198,0.00048124,-0.12119,1,0.0797,0.05,0.0797,0.01
0.50018,0.022607,0,0.073901,0.019859,0.00048094,-0.12073,1,0.0798,0.05,0.0798,0.01
0.50221,0.022631,0,0.074377,0.019919,0.00048064,-0.12027,1,0.0799,0.05,0.0799,0.01
0.50424,0.022654,0,0.074853,0.019978,0.00048034,-0.11981,1,0.08,0.05,0.08,0.01
0.50631,0.022678,0,0.075379,0.020038,0.00047997,-0.11935,1,0.0801,0.05,0.0801,0.01
0.50838,0.022702,0,0.075905,0.020098,0.00047959,-0.11889,1,0.0802,0.05,0.0802,0.01
0.51044,0.022726,0,0.076431,0.020158,0.00047922,-0.11843,1,0.0803,0.05,0.0803,0.01
0.51251,0.02275,0,0.076957,0.020218,0.00047885,-0.11797,1,0.0804,0.05,0.0804,0.01
0.51458,0.022774,0,0.077483,0.020278,0.00047847,-0.11751,1,0.0805,0.05,0.0805,0.01
0.51665,0.022798,0,0.078009,0.020338,0.0004781,-0.11705,1,0.0806,0.05,0.0806,0.01
0.51872,0.022821,0,0.078535,0.020398,0.00047772,-0.11659,1,0.0807,0.05,0.0807,0.01
0.52078,0.022845,0,0.079061,0.020458,0.00047735,-0.11613,1,0.0808,0.05,0.0808,0.01
0.52285,0.022869,0,0.079587,0.020518,0.00047698,-0.11567,1,0.0809,0.05,0.0809,0.01
0.52492,0.022893,0,0.080113,0.020578,0.0004766,-0.1152,1,0.081,0.05,0.081,0.01
0.52699,0.022917,0,0.080639,0.020638,0.00047623,-0.11474,1,0.0811,0.05,0.0811,0.01
0.52905,0.022941,0,0.081165,0.020698,0.00047585,-0.11428,1,0.0812,0.05,0.0812,0.01
0.53112,0.022965,0,0.081691,0.020758,0.00047548,-0.11382,1,0.0813,0.05,0.0813,0.01
0.53319,0.022989,0,0.082217,0.020818,0.00047511,-0.11336,1,0.0814,0.05,0.0814,0.01
0.53526,0.023013,0,0.082743,0.020878,0.00047473,-0.1129,1,0.0815,0.05,0.0815,0.01
0.53733,0.023037,0,0.083269,0.020938,0.00047436,-0.11244,1,0.0816,0.05,0.0816,0.01
0.5394,0.023061,0,0.083812,0.020997,0.00047394,-0.11198,1,0.0817,0.05,0.0817,0.01
0.5415,0.023085,0,0.084386,0.021056,0.00047344,-0.11153,1,0.0818,0.05,0.0818,0.01
0.5436,0.02311,0,0.084961,0.021114,0.00047295,-0.11108,1,0.0819,0.05,0.0819,0.01
0.5457,0.023134,0,0.085535,0.021172,0.00047245,-0.11062,1,0.082,0.05,0.082,0.01
